index,Time,NOR Speed,PIA Speed,VER Speed
0,0 days 00:00:00.270000,NaN,322.0,NaN
1,0 days 00:00:00.287000,323.0,NaN,NaN
2,0 days 00:00:00.298000,NaN,NaN,323.0
3,0 days 00:00:00.459000,NaN,NaN,326.0
4,0 days 00:00:00.550000,NaN,324.0,NaN
5,0 days 00:00:00.607000,325.0,NaN,NaN
6,0 days 00:00:00.807000,326.0,NaN,NaN
7,0 days 00:00:00.818000,NaN,NaN,328.0
8,0 days 00:00:00.967000,327.0,NaN,NaN
9,0 days 00:00:00.989000,NaN,327.0,NaN
10,0 days 00:00:01.207000,329.0,NaN,NaN
11,0 days 00:00:01.258000,NaN,NaN,331.0
12,0 days 00:00:01.269000,NaN,328.0,NaN
13,0 days 00:00:01.417000,NaN,NaN,331.0
14,0 days 00:00:01.447000,330.0,NaN,NaN
15,0 days 00:00:01.470000,NaN,330.0,NaN
16,0 days 00:00:01.727000,332.0,NaN,NaN
17,0 days 00:00:01.737000,NaN,NaN,333.0
18,0 days 00:00:01.831000,NaN,332.0,NaN
19,0 days 00:00:01.967000,332.0,NaN,NaN
20,0 days 00:00:02.098000,NaN,NaN,335.0
21,0 days 00:00:02.168000,333.0,NaN,NaN
22,0 days 00:00:02.270000,NaN,333.0,NaN
23,0 days 00:00:02.378000,NaN,NaN,336.0
24,0 days 00:00:02.487000,335.0,NaN,NaN
25,0 days 00:00:02.510000,NaN,335.0,NaN
26,0 days 00:00:02.577000,NaN,NaN,337.0
27,0 days 00:00:02.647000,336.0,NaN,NaN
28,0 days 00:00:02.817000,NaN,NaN,338.0
29,0 days 00:00:02.869000,NaN,336.0,NaN
30,0 days 00:00:02.967000,337.0,NaN,NaN
31,0 days 00:00:03.137000,NaN,NaN,339.0
32,0 days 00:00:03.207000,337.0,NaN,NaN
33,0 days 00:00:03.269000,NaN,338.0,NaN
34,0 days 00:00:03.417000,NaN,NaN,341.0
35,0 days 00:00:03.510000,NaN,338.0,NaN
36,0 days 00:00:03.646000,338.0,NaN,NaN
37,0 days 00:00:03.669000,NaN,338.0,NaN
38,0 days 00:00:03.697000,NaN,NaN,342.0
39,0 days 00:00:03.949000,NaN,339.0,NaN
40,0 days 00:00:03.966000,340.0,NaN,NaN
41,0 days 00:00:04.018000,NaN,NaN,342.0
42,0 days 00:00:04.109000,NaN,340.0,NaN
43,0 days 00:00:04.127000,341.0,NaN,NaN
44,0 days 00:00:04.298000,NaN,NaN,343.0
45,0 days 00:00:04.326000,341.0,NaN,NaN
46,0 days 00:00:04.350000,NaN,341.0,NaN
47,0 days 00:00:04.497000,NaN,NaN,343.0
48,0 days 00:00:04.509000,NaN,341.0,NaN
49,0 days 00:00:04.606000,342.0,NaN,NaN
50,0 days 00:00:04.738000,NaN,NaN,344.0
51,0 days 00:00:04.749000,NaN,342.0,NaN
52,0 days 00:00:04.887000,342.0,NaN,NaN
53,0 days 00:00:04.898000,NaN,NaN,344.0
54,0 days 00:00:04.950000,NaN,342.0,NaN
55,0 days 00:00:05.218000,NaN,NaN,345.0
56,0 days 00:00:05.269000,NaN,342.0,NaN
57,0 days 00:00:05.287000,343.0,NaN,NaN
58,0 days 00:00:05.447000,343.0,NaN,NaN
59,0 days 00:00:05.458000,NaN,NaN,345.0
60,0 days 00:00:05.549000,NaN,343.0,NaN
61,0 days 00:00:05.617000,NaN,NaN,346.0
62,0 days 00:00:05.686000,343.0,NaN,NaN
63,0 days 00:00:05.829000,NaN,343.0,NaN
64,0 days 00:00:05.938000,NaN,NaN,346.0
65,0 days 00:00:05.990000,NaN,344.0,NaN
66,0 days 00:00:06.007000,344.0,NaN,NaN
67,0 days 00:00:06.138000,NaN,NaN,347.0
68,0 days 00:00:06.149000,NaN,344.0,NaN
69,0 days 00:00:06.166000,344.0,NaN,NaN
70,0 days 00:00:06.378000,NaN,NaN,347.0
71,0 days 00:00:06.470000,NaN,345.0,NaN
72,0 days 00:00:06.486000,345.0,NaN,NaN
73,0 days 00:00:06.658000,NaN,NaN,348.0
74,0 days 00:00:06.726000,345.0,NaN,NaN
75,0 days 00:00:06.790000,NaN,345.0,NaN
76,0 days 00:00:06.898000,NaN,NaN,347.0
77,0 days 00:00:06.927000,345.0,NaN,NaN
78,0 days 00:00:06.990000,NaN,346.0,NaN
79,0 days 00:00:07.150000,NaN,346.0,NaN
80,0 days 00:00:07.167000,346.0,NaN,NaN
81,0 days 00:00:07.299000,NaN,NaN,348.0
82,0 days 00:00:07.326000,346.0,NaN,NaN
83,0 days 00:00:07.390000,NaN,346.0,NaN
84,0 days 00:00:07.630000,NaN,345.0,NaN
85,0 days 00:00:07.698000,NaN,NaN,348.0
86,0 days 00:00:07.910000,NaN,344.0,NaN
87,0 days 00:00:08.018000,NaN,NaN,348.0
88,0 days 00:00:08.047000,343.0,NaN,NaN
89,0 days 00:00:08.150000,NaN,344.0,NaN
90,0 days 00:00:08.247000,341.0,NaN,NaN
91,0 days 00:00:08.297000,NaN,NaN,347.0
92,0 days 00:00:08.351000,NaN,340.0,NaN
93,0 days 00:00:08.457000,NaN,NaN,312.0
94,0 days 00:00:08.647000,304.0,NaN,NaN
95,0 days 00:00:08.670000,NaN,291.0,NaN
96,0 days 00:00:08.698000,NaN,NaN,277.0
97,0 days 00:00:08.830000,NaN,274.0,NaN
98,0 days 00:00:08.938000,NaN,NaN,246.0
99,0 days 00:00:09.087000,210.0,NaN,NaN
100,0 days 00:00:09.137000,NaN,NaN,218.0
101,0 days 00:00:09.150000,NaN,212.0,NaN
102,0 days 00:00:09.248000,210.0,NaN,NaN
103,0 days 00:00:09.337000,NaN,NaN,193.0
104,0 days 00:00:09.390000,NaN,187.0,NaN
105,0 days 00:00:09.577000,NaN,NaN,160.0
106,0 days 00:00:09.607000,152.0,NaN,NaN
107,0 days 00:00:09.829000,NaN,133.0,NaN
108,0 days 00:00:09.897000,NaN,NaN,136.0
109,0 days 00:00:10.047000,124.0,NaN,NaN
110,0 days 00:00:10.149000,NaN,112.0,NaN
111,0 days 00:00:10.177000,NaN,NaN,118.0
112,0 days 00:00:10.206000,112.0,NaN,NaN
113,0 days 00:00:10.310000,NaN,102.0,NaN
114,0 days 00:00:10.378000,NaN,NaN,109.0
115,0 days 00:00:10.509000,NaN,102.0,NaN
116,0 days 00:00:10.526000,103.0,NaN,NaN
117,0 days 00:00:10.737000,NaN,NaN,98.0
118,0 days 00:00:10.789000,NaN,92.0,NaN
119,0 days 00:00:10.887000,95.0,NaN,NaN
120,0 days 00:00:10.978000,NaN,NaN,90.0
121,0 days 00:00:11.070000,NaN,89.0,NaN
122,0 days 00:00:11.167000,91.0,NaN,NaN
123,0 days 00:00:11.337000,NaN,NaN,84.0
124,0 days 00:00:11.366000,85.0,NaN,NaN
125,0 days 00:00:11.470000,NaN,83.0,NaN
126,0 days 00:00:11.538000,NaN,NaN,79.0
127,0 days 00:00:11.606000,84.0,NaN,NaN
128,0 days 00:00:11.630000,NaN,80.0,NaN
129,0 days 00:00:11.698000,NaN,NaN,81.0
130,0 days 00:00:11.869000,NaN,80.0,NaN
131,0 days 00:00:11.898000,NaN,NaN,86.0
132,0 days 00:00:11.926000,84.0,NaN,NaN
133,0 days 00:00:12.178000,NaN,NaN,83.0
134,0 days 00:00:12.190000,NaN,82.0,NaN
135,0 days 00:00:12.206000,82.0,NaN,NaN
136,0 days 00:00:12.349000,NaN,83.0,NaN
137,0 days 00:00:12.486000,79.0,NaN,NaN
138,0 days 00:00:12.618000,NaN,NaN,75.0
139,0 days 00:00:12.669000,NaN,79.0,NaN
140,0 days 00:00:12.807000,74.0,NaN,NaN
141,0 days 00:00:12.909000,NaN,75.0,NaN
142,0 days 00:00:12.979000,NaN,NaN,73.0
143,0 days 00:00:13.087000,76.0,NaN,NaN
144,0 days 00:00:13.110000,NaN,75.0,NaN
145,0 days 00:00:13.138000,NaN,NaN,74.0
146,0 days 00:00:13.286000,78.0,NaN,NaN
147,0 days 00:00:13.350000,NaN,74.0,NaN
148,0 days 00:00:13.418000,NaN,NaN,79.0
149,0 days 00:00:13.509000,NaN,78.0,NaN
150,0 days 00:00:13.527000,82.0,NaN,NaN
151,0 days 00:00:13.618000,NaN,NaN,84.0
152,0 days 00:00:13.687000,88.0,NaN,NaN
153,0 days 00:00:14.007000,98.0,NaN,NaN
154,0 days 00:00:14.058000,NaN,NaN,103.0
155,0 days 00:00:14.230000,NaN,99.0,NaN
156,0 days 00:00:14.247000,108.0,NaN,NaN
157,0 days 00:00:14.298000,NaN,NaN,108.0
158,0 days 00:00:14.406000,119.0,NaN,NaN
159,0 days 00:00:14.430000,NaN,109.0,NaN
160,0 days 00:00:14.659000,NaN,NaN,136.0
161,0 days 00:00:14.727000,134.0,NaN,NaN
162,0 days 00:00:14.817000,NaN,NaN,142.0
163,0 days 00:00:14.830000,NaN,128.0,NaN
