Driver,Team,PitOutTime,NextPitInTime,time_in_pit
VER,Red Bull Racing,0 days 00:26:32.818000,0 days 00:20:49.749000,0 days 00:05:43.069000
VER,Red Bull Racing,0 days 00:42:02.699000,0 days 00:31:21.375000,0 days 00:10:41.324000
VER,Red Bull Racing,0 days 00:50:15.829000,0 days 00:46:46.508000,0 days 00:03:29.321000
VER,Red Bull Racing,0 days 01:04:55.104000,0 days 00:55:11.872000,0 days 00:09:43.232000
VER,Red Bull Racing,0 days 01:12:01.973000,0 days 01:09:24.099000,0 days 00:02:37.874000
NOR,McLaren,0 days 00:27:06.915000,0 days 00:21:26.014000,0 days 00:05:40.901000
NOR,McLaren,0 days 00:43:13.482000,0 days 00:33:28.288000,0 days 00:09:45.194000
NOR,McLaren,0 days 00:47:54.942000,0 days 00:46:21.238000,0 days 00:01:33.704000
NOR,McLaren,0 days 01:03:48.195000,0 days 00:57:29.852000,0 days 00:06:18.343000
NOR,McLaren,0 days 01:11:45.231000,0 days 01:08:28.491000,0 days 00:03:16.740000
